日期,推广计划名称,宝贝名称,关键词,流量来源,搜索类型,展现量,点击量,花费(分),点击率,平均展现排名,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖器,计算机站内,搜索,39,0,0,0.00,55,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖器,移动站内,搜索,56,0,0,0.00,29,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,暖风机,计算机站内,搜索,470,1,109,0.21,12,109.00,231.91,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,暖风机,移动站内,搜索,61,1,67,1.64,22,67.00,1098.36,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,家用取暖器,计算机站内,搜索,25,0,0,0.00,44,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,家用取暖器,移动站内,搜索,48,1,181,2.08,6,181.00,3770.83,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,家用暖风机,计算机站内,搜索,1,0,0,0.00,61,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,家用暖风机,移动站内,搜索,73,0,0,0.00,5,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,家用取暖器 暖风机,计算机站内,搜索,8,0,0,0.00,37,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,家用取暖器 暖风机,移动站内,搜索,4,1,144,25.00,8,144.00,36000.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,进口取暖器,计算机站内,搜索,142,0,0,0.00,33,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,进口取暖器,移动站内,搜索,299,0,0,0.00,15,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,暖风取暖器,计算机站内,搜索,4,0,0,0.00,38,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖电器,计算机站内,搜索,5,0,0,0.00,29,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖电器,移动站内,搜索,6,0,0,0.00,28,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖机,移动站内,搜索,2,0,0,0.00,14,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,无叶风扇 冷暖,计算机站内,搜索,26,0,0,0.00,24,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,无叶风扇 冷暖,移动站内,搜索,36,0,0,0.00,12,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 静音 遥控,移动站内,搜索,1,0,0,0.00,1,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 超静音,计算机站内,搜索,63,0,0,0.00,11,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 超静音,移动站内,搜索,152,5,1188,3.29,3,237.60,7815.79,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 冷暖,计算机站内,搜索,14,0,0,0.00,31,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 冷暖,移动站内,搜索,32,0,0,0.00,13,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,冷暖风扇,计算机站内,搜索,13,0,0,0.00,7,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,冷暖风扇,移动站内,搜索,29,1,86,3.45,3,86.00,2965.52,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无扇叶风扇,计算机站内,搜索,44,0,0,0.00,16,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无扇叶风扇,移动站内,搜索,78,4,840,5.13,2,210.00,10769.23,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 静音,计算机站内,搜索,46,0,0,0.00,36,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇 静音,移动站内,搜索,154,4,1007,2.60,5,251.75,6538.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0,2,2
2017-03-05,喜宝EC品类计划,Dyson戴森 AM09 暖风机 无扇叶 冷暖两用 安静,无叶风扇遥控,计算机站内,搜索,1,0,0,0.00,3,,0.00,,,,,,,,,,,,,,
